"finess_ET","finess_EJ","RS","cat","statut","address","lat","lng","LIT_chir","LIT_obs","LIT_HAD","LIT_med","LIT_psy","LIT_SLD","LIT_SSR","SEJHC_chir","SEJHC_obs","SEJHC_HAD","SEJHC_med","SEJHC_psy","SEJHC_SLD","SEJHC_SSR","JOU_chir","JOU_obs","JOU_HAD","JOU_med","JOU_psy","JOU_SLD","JOU_SSR","PLA_chir","PLA_obs","PLA_HAD","PLA_med","PLA_psy","PLA_SLD","PLA_SSR","SEJHP_chir","SEJHP_obs","SEJHP_HAD","SEJHP_med","SEJHP_psy","SEJHP_SLD","SEJHP_SSR","LIT_total","SEJHC_total","JOU_total","PLA_total","SEJHP_total"
"010000024","010780054","CH FLEYRIAT","CH","Public","CH FLEYRIAT 900 RTE DE PARIS 01012 BOURG EN BRESSE CEDEX",46.2243803,5.2102464,78,64,NA,292,NA,NA,NA,3925,4282,NA,14760,NA,NA,NA,19476,15305,12184,89260,NA,NA,NA,15,4,40,29,NA,NA,17,4304,0,480,2754,NA,NA,2825,434,22967,136225,105,10363
"010000032","010780062","CH DOCTEUR RECAMIER BELLEY","CH","Public","CH DOCTEUR RECAMIER BELLEY 52 R GEORGES GIRERD 01300 BELLEY",45.7620094,5.685265,20,12,NA,75,NA,NA,40,965,764,NA,3576,NA,NA,452,4957,2254,NA,19769,NA,NA,14150,5,0,NA,5,NA,NA,8,1003,0,NA,209,NA,NA,2596,147,5757,41130,18,3808
"010000065","010780096","CH MONTPENSIER TREVOUX","CH","Public","CH MONTPENSIER TREVOUX 14 R DE L HOPITAL 01606 TREVOUX CEDEX",45.9407859,4.7717565,NA,NA,NA,59,NA,30,68,NA,NA,NA,1941,NA,14,819,NA,NA,NA,19449,NA,10671,25066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,157,2774,55186,0,0
"010000081","010780112","CENTRE HOSPITALIER DU PAYS DE GEX","CH","Public","CH DU PAYS DE GEX 160 R MARC PANISSOD 01174 GEX CEDEX",46.3223008,6.0581607,NA,NA,NA,NA,NA,30,20,NA,NA,NA,NA,NA,20,193,NA,NA,NA,NA,NA,10422,6783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,213,17205,0,0
"010000099","010780120","CH DE MEXIMIEUX","CH","Public","CH DE MEXIMIEUX 13 AV DU DOCTEUR BOYER 01800 MEXIMIEUX",45.9067065,5.1946014,NA,NA,NA,9,NA,NA,20,NA,NA,NA,110,NA,NA,281,NA,NA,NA,1154,NA,NA,8078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,29,391,9232,0,0
"010000107","010780138","CH DE PONT DE VAUX","CH","Public","CH DE PONT DE VAUX CHE DES NIVRES 01190 PONT DE VAUX",46.4346351,4.9445773,NA,NA,NA,15,NA,NA,20,NA,NA,NA,287,NA,NA,275,NA,NA,NA,3515,NA,NA,7164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,35,562,10679,0,0
"010000115","010009132","CENTRE HOSPITALIER  PONT-DE-VEYLE","CH","Public","CHI AIN VAL DE SAONE SITE PONT VEYLE R PIERRE GOUJON 01290 PONT DE VEYLE",46.2636483,4.8903755,NA,NA,NA,12,NA,30,18,NA,NA,NA,160,NA,75,208,NA,NA,NA,3205,NA,9970,5802,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,60,443,18977,0,0
"010000131","010009132","CENTRE HOSPITALIER  THOISSEY","CH","Public","CHI AIN VAL DE SAONE SITE THOISSEY 11 R DE L HOPITAL 01140 THOISSEY",46.1728076,4.8044406,NA,NA,NA,8,NA,NA,29,NA,NA,NA,156,NA,NA,156,NA,NA,NA,2810,NA,NA,2810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,37,312,5620,0,0
"010000180","010007987","CH PUBLIC HAUTEVILLE UNITE ESP…RANCE","CH","Public","CH PUBLIC HAUTEVILLE UNITE ESPERANCE 01110 HAUTEVILLE LOMPNES",45.9755647,5.611074,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,573,NA,NA,NA,NA,NA,NA,12255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,573,12255,0,0
"010000198","010007987","CH PUBLIC HAUTEVILLE UNIT… INTERD…PT.","CH","Public","CH PUBLIC HAUTEVILLE UNITE INTERDEPT. 01110 HAUTEVILLE LOMPNES",45.9755647,5.611074,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,1433,NA,NA,NA,NA,NA,NA,22470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1433,22470,0,0
