Region,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80P
Auvergne-Rhone-Alpes,457173.552517254,479982.017371212,473564.69971513,446192.656431595,451363.51050368,479052.656138023,480439.023262094,514600.384700837,527126.178532674,514953.860849769,480081.260532265,484827.77056111,459145.566371062,438335.489858877,316475.53900852,255891.889490558,463162.944155342
Bourgogne-Franche-Comte,170161.14105223,193332.631912404,186968.521320767,157957.749556322,165824.193182422,178446.307966942,180879.015536076,200356.160235971,212177.874331985,213846.875068069,210669.371903315,188609.660455545,210515.080756777,201724.684691688,139177.956358867,117005.817289055,215064.958381569
Bretagne,182318.234536266,211639.94126815,208746.842451242,177964.793256207,172585.838994742,188743.308561787,198296.356482663,221251.356612872,226498.731572281,225149.961180284,222865.062534231,204764.170102743,222899.547145295,217450.952496668,145081.506712603,126929.064755343,227832.331336625
Centre-Val de Loire,134431.665471268,150723.912793181,145040.186494701,120846.417599131,128344.682447828,136631.369254705,139899.895672788,158111.650458828,164336.293911703,163188.120154055,160523.689103048,148717.733772619,159687.785642564,152019.387498316,104469.069963136,88426.7058241698,168413.433937961
Corse,16422.760000859,17430.6748257439,16900.9077626481,16412.4766383643,18767.7455434195,20344.5563158151,20644.4300376312,22569.329553635,24105.0386569859,23668.9049464977,22067.9573435705,17503.0644646586,21554.5458614631,21619.6784677095,16947.618577211,14201.8779709047,22121.433032883
Grand-Est,305842.595472056,329844.050493744,336877.116131834,322316.720760422,327709.82962546,338687.694509081,333267.732516207,361162.83790162,380280.172110671,389265.855238573,377825.842496563,330144.970282648,360210.770538947,321388.291499949,214735.373053885,190777.104726738,321123.042641598
Hauts-de-France,347107.7531632,366913.705866972,368388.955355497,337685.141249462,334332.942417853,347948.035643858,342354.331727947,363468.134801899,362155.117833731,363387.207114283,350265.924546915,368324.707720734,335641.211373252,304284.842304037,187514.90281439,160265.181339503,284502.904726471
Ile-de-France,838312.203008947,791796.546952616,766055.026167261,816517.353856661,918694.109191351,914015.789200255,889011.987573868,887699.112279308,854592.637249055,823467.14183598,745552.837530346,835839.444998945,649540.884907708,572153.001862326,392643.834040698,311142.164293521,542554.925051156
Normandie,199189.796526443,223171.739477302,218742.19737878,185553.835254004,190138.517595793,202768.700428404,204621.578150281,224388.631155013,233664.590622981,236925.930258997,235142.680491495,219687.286149391,233130.999182836,217492.625215517,143020.069485312,123333.575966992,223800.246660459
Nouvelle-Aquitaine,302905.26864252,351975.971275453,352335.207197013,312361.315021148,311749.376843465,336776.633809732,353540.129518694,397118.258657424,414659.405154091,417165.333363566,411631.773822092,341258.264702784,421759.61206646,412431.430833061,287319.863976001,239284.909300536,463750.24581596
Occitanie,296493.232337868,325341.855807737,333003.192551293,315895.426203253,307618.447300772,324664.523628102,333603.801124429,358145.274554347,376433.245287418,376966.533999825,359422.287797043,321926.051056117,359819.719354186,353481.757771523,257444.651396175,204058.446848436,388120.552981477
Pays de la Loire,210701.757855697,230213.779544855,220149.497075523,189778.023119535,192437.240250872,211498.779529309,216648.258547943,232393.782695189,229482.365780921,225890.894969059,216262.130708282,230590.719790598,212043.363010219,198937.415887294,131342.861748477,114082.395229707,212899.734256518
PACA,279754.735560166,298012.618035759,298801.335701132,269160.137995116,278136.439722083,299010.484708197,306943.022689428,331873.102586326,351660.97079734,355243.527813449,336817.313729976,298918.068032773,327576.515308623,325274.255217511,252796.107393915,200769.203816293,359752.160891916
